NAMESPACE           NAME                                                              READY   STATUS      RESTARTS         AGE
rook-ceph           rook-ceph-exporter-arcanine-58bff4f758-cnkjr                      1/1     Running     0                6h21m
rook-ceph           rook-ceph-exporter-bulbasaur-785d954c8-dwrbl                      1/1     Running     0                6h37m
rook-ceph           rook-ceph-exporter-charmander-68955455bb-gnrgl                    1/1     Running     0                6h41m
rook-ceph           rook-ceph-exporter-chikorita-55bcdf4595-m7btw                     1/1     Running     0                6h2m
rook-ceph           rook-ceph-exporter-cyndaquil-697bd7d58c-bp7mm                     1/1     Running     0                6h46m
rook-ceph           rook-ceph-exporter-growlithe-95969c64d-rx6zr                      1/1     Running     0                6h31m
rook-ceph           rook-ceph-exporter-pikachu-78689b6cb9-8kc6p                       1/1     Running     0                6h7m
rook-ceph           rook-ceph-exporter-sprigatito-66fd649897-vfr66                    1/1     Running     0                6h26m
rook-ceph           rook-ceph-exporter-squirtle-7d7867b4f6-5hk6z                      1/1     Running     0                6h48m
rook-ceph           rook-ceph-exporter-totodile-555cffbc5b-4vrqv                      1/1     Running     0                6h12m
rook-ceph           rook-ceph-mds-standard-rwx-a-6bd6586df-j4h8j                      1/1     Running     0                6h7m
rook-ceph           rook-ceph-mds-standard-rwx-b-779b85d79c-l7l5b                     1/1     Running     0                6h12m
rook-ceph           rook-ceph-mgr-a-5fb858f4f-55cjb                                   2/2     Running     0                6h36m
rook-ceph           rook-ceph-mgr-b-7bf766bd9f-6w74t                                  2/2     Running     0                6h48m
rook-ceph           rook-ceph-mon-f-5cc966c797-slw8m                                  1/1     Running     0                6h40m
rook-ceph           rook-ceph-mon-h-5ccccdb9bc-fsr2b                                  1/1     Running     0                6h45m
rook-ceph           rook-ceph-mon-j-746c974688-mkv79                                  1/1     Running     0                6h48m
rook-ceph           rook-ceph-operator-7f67ff775c-gtp7b                               1/1     Running     0                6h48m
rook-ceph           rook-ceph-osd-0-759886b475-qr2pw                                  1/1     Running     0                6h7m
rook-ceph           rook-ceph-osd-1-6d8c5776bc-qx99t                                  1/1     Running     0                6h48m
rook-ceph           rook-ceph-osd-2-65c544f9b9-5tpr5                                  1/1     Running     0                6h24m
rook-ceph           rook-ceph-osd-4-68899c7d97-8829t                                  1/1     Running     0                6h40m
rook-ceph           rook-ceph-osd-6-84797665c5-5vdsk                                  1/1     Running     0                6h34m
rook-ceph           rook-ceph-osd-7-7f4d84c6d6-xcsqx                                  1/1     Running     0                6h29m
rook-ceph           rook-ceph-osd-8-5b654b7fd6-bwfz8                                  1/1     Running     0                6h23m
rook-ceph           rook-ceph-osd-prepare-bulbasaur-vdqq2                             0/1     Completed   0                6h35m
rook-ceph           rook-ceph-osd-prepare-charmander-ksr64                            0/1     Completed   0                6h35m
rook-ceph           rook-ceph-osd-prepare-cyndaquil-f6ghk                             0/1     Completed   0                6h34m
rook-ceph           rook-ceph-osd-prepare-squirtle-vkc82                              0/1     Completed   0                6h35m
rook-ceph           rook-ceph-snapshot-controller-7dd476c4f9-sgfq7                    1/1     Running     0                6h36m
rook-ceph           rook-ceph-tools-658fd4db6f-7zvdr                                  1/1     Running     0                6h7m
rook-ceph           rook-ceph.cephfs.csi.ceph.com-ctrlplugin-c4dc99579-fmclx          5/5     Running     0                6h18m
rook-ceph           rook-ceph.cephfs.csi.ceph.com-ctrlplugin-c4dc99579-xvbw8          5/5     Running     0                6h24m
rook-ceph           rook-ceph.cephfs.csi.ceph.com-nodeplugin-cgcn2                    2/2     Running     20 (6h46m ago)   10d
rook-ceph           rook-ceph.cephfs.csi.ceph.com-nodeplugin-dmm87                    2/2     Running     20 (6h16m ago)   10d
rook-ceph           rook-ceph.cephfs.csi.ceph.com-nodeplugin-gppjq                    2/2     Running     24 (6h32m ago)   10d
rook-ceph           rook-ceph.cephfs.csi.ceph.com-nodeplugin-km79k                    2/2     Running     20 (6h3m ago)    10d
rook-ceph           rook-ceph.cephfs.csi.ceph.com-nodeplugin-ln2xg                    2/2     Running     20 (6h27m ago)   10d
rook-ceph           rook-ceph.cephfs.csi.ceph.com-nodeplugin-nl7sz                    2/2     Running     20 (6h50m ago)   10d
rook-ceph           rook-ceph.cephfs.csi.ceph.com-nodeplugin-qqk55                    2/2     Running     20 (6h37m ago)   10d
rook-ceph           rook-ceph.cephfs.csi.ceph.com-nodeplugin-rp424                    2/2     Running     20 (6h10m ago)   10d
rook-ceph           rook-ceph.cephfs.csi.ceph.com-nodeplugin-sr6pd                    2/2     Running     20 (6h22m ago)   10d
rook-ceph           rook-ceph.cephfs.csi.ceph.com-nodeplugin-tq8r7                    2/2     Running     20 (6h42m ago)   10d
rook-ceph           rook-ceph.rbd.csi.ceph.com-ctrlplugin-5f745fd754-7hqfb            5/5     Running     0                6h18m
rook-ceph           rook-ceph.rbd.csi.ceph.com-ctrlplugin-5f745fd754-l4vvq            5/5     Running     0                6h12m
rook-ceph           rook-ceph.rbd.csi.ceph.com-nodeplugin-29n8t                       2/2     Running     19 (6h11m ago)   10d
rook-ceph           rook-ceph.rbd.csi.ceph.com-nodeplugin-dcx5w                       2/2     Running     20 (6h50m ago)   10d
rook-ceph           rook-ceph.rbd.csi.ceph.com-nodeplugin-fdqxc                       2/2     Running     20 (6h46m ago)   10d
rook-ceph           rook-ceph.rbd.csi.ceph.com-nodeplugin-m4626                       2/2     Running     20 (6h16m ago)   10d
rook-ceph           rook-ceph.rbd.csi.ceph.com-nodeplugin-prnr6                       2/2     Running     20 (6h22m ago)   10d
rook-ceph           rook-ceph.rbd.csi.ceph.com-nodeplugin-r2mz4                       2/2     Running     20 (6h27m ago)   10d
rook-ceph           rook-ceph.rbd.csi.ceph.com-nodeplugin-skvrn                       2/2     Running     20 (6h37m ago)   10d
