NAMESPACE           NAME                                                              READY   STATUS      RESTARTS         AGE
loki                loki-0                                                            1/1     Running     0                2d15h
loki                loki-promtail-79pqz                                               1/1     Running     31 (2d15h ago)   75d
loki                loki-promtail-b97xw                                               1/1     Running     29 (2d15h ago)   75d
loki                loki-promtail-bp6zx                                               1/1     Running     30 (2d15h ago)   75d
loki                loki-promtail-bsgzf                                               1/1     Running     31 (2d15h ago)   75d
loki                loki-promtail-gbjnm                                               1/1     Running     29 (2d14h ago)   75d
loki                loki-promtail-kqwwc                                               1/1     Running     14 (2d15h ago)   38d
loki                loki-promtail-tf7wq                                               1/1     Running     19 (2d15h ago)   48d
loki                loki-promtail-xwnbd                                               1/1     Running     41 (2d15h ago)   75d
monitoring-system   alertmanager-monitoring-system-kube-pro-alertmanager-0            3/3     Running     0                2d15h
monitoring-system   monitoring-system-kube-pro-operator-5854fcf964-kzbhw              1/1     Running     0                2d15h
monitoring-system   monitoring-system-kube-state-metrics-99859855-j5mqh               1/1     Running     5 (2d7h ago)     2d15h
monitoring-system   monitoring-system-prometheus-node-exporter-7fmwl                  1/1     Running     5 (2d7h ago)     9d
monitoring-system   monitoring-system-prometheus-node-exporter-7q477                  1/1     Running     5 (2d7h ago)     9d
monitoring-system   monitoring-system-prometheus-node-exporter-8n9x9                  1/1     Running     5 (2d7h ago)     9d
monitoring-system   monitoring-system-prometheus-node-exporter-b9dnr                  1/1     Running     5 (2d7h ago)     9d
monitoring-system   monitoring-system-prometheus-node-exporter-clclz                  1/1     Running     6 (2d7h ago)     9d
monitoring-system   monitoring-system-prometheus-node-exporter-g7wdm                  1/1     Running     5 (2d7h ago)     9d
monitoring-system   monitoring-system-prometheus-node-exporter-v7k7s                  1/1     Running     4 (2d15h ago)    9d
monitoring-system   monitoring-system-prometheus-node-exporter-w7xt6                  1/1     Running     4 (2d15h ago)    9d
monitoring-system   monitoring-system-prometheus-node-exporter-xwglh                  1/1     Running     5 (2d7h ago)     9d
monitoring-system   monitoring-system-prometheus-node-exporter-zbshj                  1/1     Running     5 (2d7h ago)     9d
monitoring-system   prometheus-monitoring-system-kube-pro-prometheus-0                2/2     Running     0                2d15h
n8n                 n8n-db-849684747d-5v5h7                                           2/2     Running     0                2d15h
n8n                 n8n-main-d586c6fcc-5qg5h                                          2/2     Running     0                2d15h
nextcloud           nextcloud-858b6cfdb7-gb5zf                                        2/2     Running     0                2d15h
ollama              ollama-6c877758ff-jdstf                                           1/1     Running     0                2d15h
ollama              ollama-model-puller-66d9487fd-9nnt2                               1/1     Running     0                2d15h
openwebui           openwebui-54df8b6fd7-tmhsc                                        1/1     Running     0                2d15h
postgres            postgres-594559df7b-wbkk6                                         2/2     Running     0                2d15h
qdrant              qdrant-0                                                          1/1     Running     0                2d15h
radarr              radarr-f6666f9fc-svpsh                                            1/1     Running     0                2d15h
renovate            renovate-29526660-w7s9x                                           0/1     Completed   0                2d8h
renovate            renovate-29528100-jx9cq                                           0/1     Completed   0                32h
renovate            renovate-29529540-997wn                                           0/1     Completed   0                8h
rook-ceph           ceph-csi-controller-manager-59b6bb679-wwjmz                       1/1     Running     2 (2d6h ago)     2d15h
rook-ceph           rook-ceph-conversion-webhook-5b888b9f5d-8m54k                     1/1     Running     0                2d15h
rook-ceph           rook-ceph-crashcollector-arcanine-5d9d65b756-nq459                1/1     Running     0                2d15h
rook-ceph           rook-ceph-crashcollector-bulbasaur-5479587f64-qmnlw               1/1     Running     0                2d14h
rook-ceph           rook-ceph-crashcollector-charmander-55579ddc5b-th5lg              1/1     Running     0                2d15h
rook-ceph           rook-ceph-crashcollector-chikorita-59db65967f-4sx7b               1/1     Running     0                2d15h
rook-ceph           rook-ceph-crashcollector-cyndaquil-5dbddfb65c-hjc9f               1/1     Running     0                2d15h
rook-ceph           rook-ceph-crashcollector-growlithe-7576697d66-gxtsm               1/1     Running     0                2d15h
rook-ceph           rook-ceph-crashcollector-pikachu-655f7d5d4c-hgb8v                 1/1     Running     0                2d15h
rook-ceph           rook-ceph-crashcollector-sprigatito-846c5596b7-s8lsj              1/1     Running     0                2d15h
rook-ceph           rook-ceph-crashcollector-squirtle-7fdc7fb9f4-b8669                1/1     Running     0                2d15h
rook-ceph           rook-ceph-exporter-arcanine-58bff4f758-cj8j5                      1/1     Running     0                2d15h
