NAMESPACE        LAST SEEN   TYPE      REASON               OBJECT                                 MESSAGE
argocd           38m         Normal    ResourceUpdated      application/woodpecker                 Updated sync status: Synced -> OutOfSync
argocd           38m         Normal    OperationStarted     application/woodpecker                 Initiated automated sync to [69d0c010a9d97a75ca16b131923eeca478d6b5ce]
argocd           38m         Normal    OperationCompleted   application/woodpecker                 Sync operation to 69d0c010a9d97a75ca16b131923eeca478d6b5ce succeeded
argocd           38m         Normal    ResourceUpdated      application/woodpecker                 Updated sync status: OutOfSync -> Synced
argocd           38m         Normal    ResourceUpdated      application/rook-ceph                  Updated sync status: Synced -> OutOfSync
argocd           38m         Normal    OperationStarted     application/rook-ceph                  Initiated automated sync to [69d0c010a9d97a75ca16b131923eeca478d6b5ce]
argocd           38m         Normal    ResourceUpdated      application/rook-ceph                  Updated sync status: OutOfSync -> Synced
argocd           38m         Normal    OperationCompleted   application/rook-ceph                  Sync operation to 69d0c010a9d97a75ca16b131923eeca478d6b5ce succeeded
argocd           37m         Normal    ResourceUpdated      application/gitea                      Updated sync status: Synced -> OutOfSync
argocd           37m         Normal    OperationStarted     application/gitea                      Initiated automated sync to [69d0c010a9d97a75ca16b131923eeca478d6b5ce]
argocd           37m         Normal    OperationCompleted   application/gitea                      Sync operation to 69d0c010a9d97a75ca16b131923eeca478d6b5ce succeeded
argocd           37m         Normal    ResourceUpdated      application/gitea                      Updated sync status: OutOfSync -> Synced
argocd           37m         Normal    OperationStarted     application/podwave                    admin initiated sync to master (8ba868c5fd3ccb3b46cb323658d752ad01cd24f0)
podwave          37m         Normal    SuccessfulDelete     replicaset/podwave-58d448fcdc          Deleted pod: podwave-58d448fcdc-qv5cp
podwave          37m         Normal    ScalingReplicaSet    deployment/podwave                     Scaled up replica set podwave-56d57446f6 from 0 to 1
podwave          37m         Normal    SuccessfulCreate     replicaset/podwave-56d57446f6          Created pod: podwave-56d57446f6-rxgbb
podwave          37m         Normal    Killing              pod/podwave-58d448fcdc-qv5cp           Stopping container main
podwave          37m         Normal    ScalingReplicaSet    deployment/podwave                     Scaled down replica set podwave-58d448fcdc from 1 to 0
argocd           37m         Normal    OperationCompleted   application/podwave                    Sync operation to 8ba868c5fd3ccb3b46cb323658d752ad01cd24f0 succeeded
argocd           37m         Normal    ResourceUpdated      application/podwave                    Updated sync status: OutOfSync -> Synced
argocd           37m         Normal    ResourceUpdated      application/podwave                    Updated sync status: Synced -> OutOfSync
argocd           37m         Normal    ResourceUpdated      application/podwave                    Updated health status: Healthy -> Progressing
podwave          37m         Normal    Pulling              pod/podwave-56d57446f6-rxgbb           Pulling image "10.0.20.11:32309/podwave:2026-04-03-v69"
podwave          37m         Normal    Pulled               pod/podwave-56d57446f6-rxgbb           Successfully pulled image "10.0.20.11:32309/podwave:2026-04-03-v69" in 31ms (31ms including waiting). Image size: 74209337 bytes.
podwave          37m         Normal    Created              pod/podwave-56d57446f6-rxgbb           Created container: main
podwave          37m         Normal    Started              pod/podwave-56d57446f6-rxgbb           Started container main
argocd           37m         Normal    ResourceUpdated      application/podwave                    Updated health status: Progressing -> Healthy
argocd           36m         Normal    OperationStarted     application/grafana                    Initiated automated sync to [8ba868c5fd3ccb3b46cb323658d752ad01cd24f0]
grafana          36m         Normal    SuccessfulCreate     replicaset/grafana-69f8c77689          Created pod: grafana-69f8c77689-b797j
grafana          36m         Normal    ScalingReplicaSet    deployment/grafana                     Scaled up replica set grafana-69f8c77689 from 0 to 1
argocd           36m         Normal    ResourceUpdated      application/grafana                    Updated sync status: Synced -> OutOfSync
argocd           36m         Normal    OperationCompleted   application/grafana                    Sync operation to 8ba868c5fd3ccb3b46cb323658d752ad01cd24f0 succeeded
argocd           36m         Normal    ResourceUpdated      application/grafana                    Updated sync status: OutOfSync -> Synced
argocd           36m         Normal    ResourceUpdated      application/grafana                    Updated health status: Healthy -> Progressing
argocd           36m         Normal    OperationStarted     application/grafana                    Initiated automated sync to [8ba868c5fd3ccb3b46cb323658d752ad01cd24f0]
argocd           36m         Normal    OperationCompleted   application/grafana                    Partial sync operation to 8ba868c5fd3ccb3b46cb323658d752ad01cd24f0 succeeded
grafana          36m         Normal    Started              pod/grafana-69f8c77689-b797j           Started container grafana-sc-datasources
grafana          36m         Normal    Pulled               pod/grafana-69f8c77689-b797j           Container image "docker.io/grafana/grafana:12.3.1" already present on machine
