NAMESPACE           NAME                                                              READY   STATUS      RESTARTS        AGE
rook-ceph           rook-ceph-osd-prepare-growlithe-sd898                             0/1     Completed   0               38h
rook-ceph           rook-ceph-osd-prepare-pikachu-ssjx5                               0/1     Completed   0               38h
rook-ceph           rook-ceph-osd-prepare-squirtle-766kp                              0/1     Completed   0               38h
rook-ceph           rook-ceph-snapshot-controller-6dbc5fd87b-vfflb                    1/1     Running     0               38h
rook-ceph           rook-ceph-tools-658fd4db6f-n4s7h                                  1/1     Running     0               38h
rook-ceph           rook-ceph.cephfs.csi.ceph.com-ctrlplugin-c4dc99579-cjs8p          5/5     Running     2 (35h ago)     38h
rook-ceph           rook-ceph.cephfs.csi.ceph.com-ctrlplugin-c4dc99579-j9nd8          5/5     Running     1 (35h ago)     38h
rook-ceph           rook-ceph.cephfs.csi.ceph.com-nodeplugin-cgcn2                    2/2     Running     40 (38h ago)    22d
rook-ceph           rook-ceph.cephfs.csi.ceph.com-nodeplugin-dmm87                    2/2     Running     40 (37h ago)    22d
rook-ceph           rook-ceph.cephfs.csi.ceph.com-nodeplugin-gppjq                    2/2     Running     42 (38h ago)    22d
rook-ceph           rook-ceph.cephfs.csi.ceph.com-nodeplugin-km79k                    2/2     Running     40 (38h ago)    22d
rook-ceph           rook-ceph.cephfs.csi.ceph.com-nodeplugin-ln2xg                    2/2     Running     40 (37h ago)    22d
rook-ceph           rook-ceph.cephfs.csi.ceph.com-nodeplugin-nl7sz                    2/2     Running     40 (38h ago)    22d
rook-ceph           rook-ceph.cephfs.csi.ceph.com-nodeplugin-qqk55                    2/2     Running     40 (38h ago)    22d
rook-ceph           rook-ceph.cephfs.csi.ceph.com-nodeplugin-rp424                    2/2     Running     39 (38h ago)    22d
rook-ceph           rook-ceph.cephfs.csi.ceph.com-nodeplugin-sr6pd                    2/2     Running     40 (38h ago)    22d
rook-ceph           rook-ceph.cephfs.csi.ceph.com-nodeplugin-tq8r7                    2/2     Running     40 (38h ago)    22d
rook-ceph           rook-ceph.rbd.csi.ceph.com-ctrlplugin-5f745fd754-8wzrq            5/5     Running     0               38h
