default     2m19s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     2m18s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     2m12s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     2m11s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     2m4s        Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     2m4s        Normal    Starting                  node/growlithe                      Starting kubelet.
default     117s        Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     117s        Normal    Starting                  node/growlithe                      Starting kubelet.
renovate    116s        Normal    Completed                 job/renovate-29516580               Job completed
renovate    116s        Normal    SuccessfulDelete          cronjob/renovate                    Deleted job renovate-29512260
renovate    116s        Normal    SawCompletedJob           cronjob/renovate                    Saw completed job: renovate-29516580, condition: Complete
default     110s        Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     110s        Normal    Starting                  node/growlithe                      Starting kubelet.
default     103s        Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     103s        Normal    Starting                  node/growlithe                      Starting kubelet.
default     96s         Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     96s         Normal    Starting                  node/growlithe                      Starting kubelet.
default     89s         Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     89s         Normal    Starting                  node/growlithe                      Starting kubelet.
default     82s         Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     82s         Normal    Starting                  node/growlithe                      Starting kubelet.
default     75s         Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     75s         Normal    Starting                  node/growlithe                      Starting kubelet.
default     68s         Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     67s         Normal    Starting                  node/growlithe                      Starting kubelet.
default     61s         Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     60s         Normal    Starting                  node/growlithe                      Starting kubelet.
default     54s         Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     53s         Normal    Starting                  node/growlithe                      Starting kubelet.
default     46s         Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     46s         Normal    Starting                  node/growlithe                      Starting kubelet.
default     39s         Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     39s         Normal    Starting                  node/growlithe                      Starting kubelet.
default     32s         Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     32s         Normal    Starting                  node/growlithe                      Starting kubelet.
default     25s         Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     25s         Normal    Starting                  node/growlithe                      Starting kubelet.
default     18s         Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     18s         Normal    Starting                  node/growlithe                      Starting kubelet.
default     11s         Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     11s         Normal    Starting                  node/growlithe                      Starting kubelet.
default     4s          Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     4s          Normal    Starting                  node/growlithe                      Starting kubelet.
