NAMESPACE           NAME                                                              READY   STATUS      RESTARTS       AGE
rook-ceph           rook-ceph-osd-8-5b654b7fd6-4z757                                  1/1     Running     0              25h
rook-ceph           rook-ceph-osd-prepare-bulbasaur-6jxzb                             0/1     Completed   0              32h
rook-ceph           rook-ceph-osd-prepare-charmander-tvdbj                            0/1     Completed   0              32h
rook-ceph           rook-ceph-osd-prepare-growlithe-sp9dz                             0/1     Completed   0              32h
rook-ceph           rook-ceph-osd-prepare-squirtle-7vqmz                              0/1     Completed   0              32h
rook-ceph           rook-ceph-osd-prepare-totodile-8xptt                              0/1     Completed   0              32h
rook-ceph           rook-ceph-snapshot-controller-7dd476c4f9-7zk64                    1/1     Running     0              32h
rook-ceph           rook-ceph-tools-658fd4db6f-v5d92                                  1/1     Running     0              25h
rook-ceph           rook-ceph.cephfs.csi.ceph.com-ctrlplugin-c4dc99579-44lwt          5/5     Running     0              32h
rook-ceph           rook-ceph.cephfs.csi.ceph.com-ctrlplugin-c4dc99579-fff88          5/5     Running     0              25h
rook-ceph           rook-ceph.cephfs.csi.ceph.com-nodeplugin-76n4p                    2/2     Running     41 (24h ago)   7d1h
rook-ceph           rook-ceph.cephfs.csi.ceph.com-nodeplugin-8ksjd                    2/2     Running     20 (32h ago)   7d1h
rook-ceph           rook-ceph.cephfs.csi.ceph.com-nodeplugin-fkbgp                    2/2     Running     32 (24h ago)   7d1h
rook-ceph           rook-ceph.cephfs.csi.ceph.com-nodeplugin-g7lg6                    2/2     Running     4 (32h ago)    2d21h
rook-ceph           rook-ceph.cephfs.csi.ceph.com-nodeplugin-jd8ls                    2/2     Running     16 (32h ago)   7d1h
rook-ceph           rook-ceph.cephfs.csi.ceph.com-nodeplugin-kbgmg                    2/2     Running     44 (32h ago)   7d1h
rook-ceph           rook-ceph.cephfs.csi.ceph.com-nodeplugin-qd5mh                    2/2     Running     11 (25h ago)   7d1h
rook-ceph           rook-ceph.cephfs.csi.ceph.com-nodeplugin-wtkt4                    2/2     Running     24 (25h ago)   7d1h
rook-ceph           rook-ceph.cephfs.csi.ceph.com-nodeplugin-xmllg                    2/2     Running     16 (32h ago)   7d1h
rook-ceph           rook-ceph.cephfs.csi.ceph.com-nodeplugin-z87qn                    2/2     Running     8 (24h ago)    7d1h
rook-ceph           rook-ceph.rbd.csi.ceph.com-ctrlplugin-5f745fd754-jqpqj            5/5     Running     0              25h
rook-ceph           rook-ceph.rbd.csi.ceph.com-ctrlplugin-5f745fd754-rrbcd            5/5     Running     0              32h
rook-ceph           rook-ceph.rbd.csi.ceph.com-nodeplugin-2f4hm                       2/2     Running     8 (24h ago)    7d1h
rook-ceph           rook-ceph.rbd.csi.ceph.com-nodeplugin-8kbsv                       2/2     Running     20 (25h ago)   5d13h
rook-ceph           rook-ceph.rbd.csi.ceph.com-nodeplugin-9tqz8                       2/2     Running     4 (32h ago)    2d21h
rook-ceph           rook-ceph.rbd.csi.ceph.com-nodeplugin-cg6w5                       2/2     Running     41 (32h ago)   7d1h
rook-ceph           rook-ceph.rbd.csi.ceph.com-nodeplugin-cx6dd                       2/2     Running     40 (24h ago)   7d1h
rook-ceph           rook-ceph.rbd.csi.ceph.com-nodeplugin-frbtp                       2/2     Running     13 (25h ago)   7d1h
rook-ceph           rook-ceph.rbd.csi.ceph.com-nodeplugin-hlqmn                       2/2     Running     16 (32h ago)   7d1h
rook-ceph           rook-ceph.rbd.csi.ceph.com-nodeplugin-qq6d4                       2/2     Running     20 (32h ago)   7d1h
rook-ceph           rook-ceph.rbd.csi.ceph.com-nodeplugin-vpgch                       2/2     Running     16 (32h ago)   7d1h
rook-ceph           rook-ceph.rbd.csi.ceph.com-nodeplugin-x5gzh                       2/2     Running     32 (24h ago)   7d1h
sabnzbd             sabnzbd-854686f555-2k2kp                                          2/2     Running     2 (24h ago)    24h
sabnzbd             sabnzbd-f7456ffcd-t4fg8                                           2/2     Running     0              32h
searxng             searxng-main-85d6c58b8c-b6vxh                                     1/1     Running     0              32h
searxng             searxng-redis-5b5d46bf8c-5s6gp                                    1/1     Running     0              25h
sonarr              sonarr-6d44cd4845-zgclt                                           1/1     Running     0              32h
volsync-system      volsync-system-5db49859d-d6q4h                                    2/2     Running     0              25h
weaviate-test       weaviate-0                                                        1/1     Running     0              25h
woodpecker          woodpecker-agent-0                                                1/1     Running     2 (32h ago)    32h
woodpecker          woodpecker-server-0                                               1/1     Running     1 (13h ago)    32h
zot                 zot-0                                                             1/1     Running     0              32h
