=== Nodes ===
NAME         STATUS   ROLES                       AGE    VERSION        INTERNAL-IP   EXTERNAL-IP   OS-IMAGE                        KERNEL-VERSION           CONTAINER-RUNTIME
arcanine     Ready    <none>                      426d   v1.33.6+k3s1   10.0.20.19    <none>        Fedora Linux 39 (Thirty Nine)   6.11.9-100.fc39.x86_64   containerd://2.1.5-k3s1.33
bulbasaur    Ready    control-plane,etcd,master   426d   v1.33.6+k3s1   10.0.20.13    <none>        Fedora Linux 39 (Thirty Nine)   6.11.9-100.fc39.x86_64   containerd://2.1.5-k3s1.33
charmander   Ready    control-plane,etcd,master   426d   v1.33.6+k3s1   10.0.20.11    <none>        Fedora Linux 39 (Thirty Nine)   6.11.9-100.fc39.x86_64   containerd://2.1.5-k3s1.33
chikorita    Ready    <none>                      338d   v1.33.6+k3s1   10.0.20.15    <none>        Fedora Linux 39 (Thirty Nine)   6.11.9-100.fc39.x86_64   containerd://2.1.5-k3s1.33
cyndaquil    Ready    <none>                      109d   v1.33.6+k3s1   10.0.20.16    <none>        Fedora Linux 39 (Thirty Nine)   6.11.9-100.fc39.x86_64   containerd://2.1.5-k3s1.33
growlithe    Ready    <none>                      426d   v1.33.6+k3s1   10.0.20.18    <none>        Fedora Linux 39 (Thirty Nine)   6.11.9-100.fc39.x86_64   containerd://2.1.5-k3s1.33
pikachu      Ready    <none>                      426d   v1.33.6+k3s1   10.0.20.14    <none>        Fedora Linux 39 (Thirty Nine)   6.11.9-100.fc39.x86_64   containerd://2.1.5-k3s1.33
sprigatito   Ready    <none>                      246d   v1.33.6+k3s1   10.0.20.20    <none>        Fedora Linux 39 (Thirty Nine)   6.11.9-100.fc39.x86_64   containerd://2.1.5-k3s1.33
squirtle     Ready    control-plane,etcd,master   426d   v1.33.6+k3s1   10.0.20.12    <none>        Fedora Linux 39 (Thirty Nine)   6.11.9-100.fc39.x86_64   containerd://2.1.5-k3s1.33
totodile     Ready    <none>                      426d   v1.33.6+k3s1   10.0.20.17    <none>        Fedora Linux 39 (Thirty Nine)   6.11.9-100.fc39.x86_64   containerd://2.1.5-k3s1.33

=== Top Nodes ===
NAME         CPU(cores)   CPU(%)   MEMORY(bytes)   MEMORY(%)   
arcanine     486m         6%       6933Mi          10%         
bulbasaur    582m         14%      3655Mi          23%         
charmander   1004m        25%      4945Mi          20%         
chikorita    528m         13%      4881Mi          15%         
cyndaquil    289m         7%       4534Mi          28%         
growlithe    563m         14%      7675Mi          23%         
pikachu      453m         11%      3708Mi          23%         
sprigatito   308m         7%       4133Mi          12%         
squirtle     1078m        26%      4715Mi          29%         
totodile     266m         6%       2482Mi          15%         

=== All Pods ===
NAMESPACE           NAME                                                              READY   STATUS                 RESTARTS          AGE
gpu-operator        gpu-operator-node-feature-discovery-worker-vhm8c                  1/1     Running                1 (6h5m ago)      8h
gpu-operator        gpu-operator-node-feature-discovery-worker-xmq89                  1/1     Running                1 (6h4m ago)      8h
gpu-operator        gpu-operator-node-feature-discovery-worker-xq424                  1/1     Running                2 (3h49m ago)     8h
gpu-operator        gpu-operator-node-feature-discovery-worker-zsxc6                  1/1     Running                2 (6h4m ago)      8h
gpu-operator        nvidia-container-toolkit-daemonset-27t28                          1/1     Running                1 (6h4m ago)      8h
gpu-operator        nvidia-container-toolkit-daemonset-fb2md                          1/1     Running                1 (6h4m ago)      8h
gpu-operator        nvidia-cuda-validator-8w762                                       0/1     Completed              0                 6h3m
gpu-operator        nvidia-cuda-validator-xjbbb                                       0/1     Completed              0                 6h4m
gpu-operator        nvidia-dcgm-exporter-74rk8                                        1/1     Running                1 (6h4m ago)      8h
gpu-operator        nvidia-dcgm-exporter-wbrzj                                        1/1     Running                33 (6h4m ago)     8h
gpu-operator        nvidia-device-plugin-daemonset-kltbj                              1/1     Running                1 (6h4m ago)      8h
gpu-operator        nvidia-device-plugin-daemonset-zqvjx                              1/1     Running                33 (6h4m ago)     8h
gpu-operator        nvidia-operator-validator-hvr2l                                   1/1     Running                0                 8h
gpu-operator        nvidia-operator-validator-ltq6k                                   1/1     Running                1 (6h4m ago)      8h
grafana             grafana-65d56f4748-kmq6l                                          3/3     Running                0                 79m
humbleai            humbleai-585c4bf9bd-2qzbl                                         1/1     Running                0                 4h32m
humbleai-demo       humbleai-demo-764f78c45f-zxbsd                                    1/1     Running                0                 125m
ingress-nginx       ingress-nginx-controller-7b89dc4cff-z97kf                         1/1     Running                1 (6h4m ago)      8h
kanidm              kanidm-0                                                          1/1     Running                0                 8h
kube-system         cilium-97b27                                                      1/1     Running                44 (6h4m ago)     115d
kube-system         cilium-bktjp                                                      1/1     Running                43 (6h4m ago)     115d
kube-system         cilium-c44ng                                                      1/1     Running                57 (6h4m ago)     115d
kube-system         cilium-h7cmt                                                      1/1     Running                47 (6h4m ago)     115d
kube-system         cilium-j64nq                                                      1/1     Running                48 (6h5m ago)     115d
kube-system         cilium-nwzq6                                                      1/1     Running                48 (6h4m ago)     109d
kube-system         cilium-operator-6999764665-kc6r8                                  1/1     Running                5 (6h4m ago)      2d11h
kube-system         cilium-r8snc                                                      1/1     Running                46 (6h4m ago)     115d
kube-system         cilium-rgw2v                                                      1/1     Running                47 (6h5m ago)     115d
kube-system         cilium-v5gp5                                                      1/1     Running                42 (6h4m ago)     86d
kube-system         cilium-xwhxf                                                      1/1     Running                45 (6h4m ago)     115d
kube-system         coredns-6954c5d8d9-9bfgn                                          1/1     Running                1 (6h4m ago)      6h23m
kube-system         hubble-relay-69f5fc5b79-rlsjl                                     1/1     Running                1 (6h4m ago)      11h
kube-system         hubble-ui-6548d56557-r9q6g                                        2/2     Running                2 (6h4m ago)      10h
kube-system         kube-vip-bulbasaur                                                1/1     Running                166 (3h50m ago)   129d
kube-system         kube-vip-charmander                                               1/1     Running                197 (117m ago)    129d
kube-system         kube-vip-squirtle                                                 1/1     Running                158 (3h48m ago)   129d
kube-system         metrics-server-564cb4ff68-bhs2q                                   1/1     Running                1 (6h4m ago)      10h
kube-system         nfs-client-provisioner-nfs-subdir-external-provisioner-854jlrfx   0/1     Unknown                2                 10h
kured               kured-6xglq                                                       1/1     Running                1 (6h5m ago)      8h
kured               kured-8xxsj                                                       1/1     Running                1 (6h4m ago)      8h
kured               kured-d5gb8                                                       1/1     Running                1 (6h4m ago)      8h
kured               kured-d7nvz                                                       1/1     Running                1 (6h4m ago)      8h
kured               kured-hk2rk                                                       1/1     Running                1 (6h4m ago)      8h
kured               kured-jbsb6                                                       1/1     Running                1 (6h5m ago)      8h
kured               kured-mp5x9                                                       1/1     Running                1 (6h4m ago)      8h
kured               kured-ppgtm                                                       1/1     Running                1 (6h4m ago)      8h
kured               kured-t99qt                                                       1/1     Running                1 (6h4m ago)      8h
kured               kured-vrpsh                                                       1/1     Running                1 (6h4m ago)      8h
localai             localai-fbc7dd596-jhp4r                                           1/1     Running                0                 81m
loki                loki-0                                                            1/1     Running                1 (6h4m ago)      2d11h
loki                loki-promtail-6nwdd                                               1/1     Running                14 (6h4m ago)     28d
loki                loki-promtail-79pqz                                               1/1     Running                61 (6h4m ago)     135d
loki                loki-promtail-b97xw                                               1/1     Running                57 (6h4m ago)     135d
loki                loki-promtail-bp6zx                                               1/1     Running                59 (6h4m ago)     135d
loki                loki-promtail-kqwwc                                               1/1     Running                43 (6h5m ago)     98d
loki                loki-promtail-tf7wq                                               1/1     Running                48 (6h4m ago)     109d
loki                loki-promtail-xwnbd                                               1/1     Running                69 (6h4m ago)     135d
loki                loki-promtail-xx4nn                                               1/1     Running                25 (6h5m ago)     56d
matrix              generate-signing-key-pkbht                                        0/2     Completed              0                 8h
matrix              matrix-dendrite-85d69fc46f-jmqsm                                  1/1     Running                0                 8h
matrix              matrix-elementweb-756868d58d-xnmdn                                1/1     Running                1 (6h4m ago)      8h
matrix              matrix-postgresql-0                                               1/1     Running                0                 8h
monitoring-system   alertmanager-monitoring-system-kube-pro-alertmanager-0            3/3     Running                0                 4h50m
monitoring-system   monitoring-system-kube-pro-operator-868fdff8dd-4wqr4              1/1     Running                0                 4h50m
monitoring-system   monitoring-system-kube-state-metrics-bffd45b7d-656jr              1/1     Running                0                 4h50m
monitoring-system   monitoring-system-prometheus-node-exporter-5qt9t                  1/1     Running                0                 4h50m
monitoring-system   monitoring-system-prometheus-node-exporter-6txhs                  1/1     Running                0                 4h50m
monitoring-system   monitoring-system-prometheus-node-exporter-9ktxw                  1/1     Running                0                 4h50m
monitoring-system   monitoring-system-prometheus-node-exporter-bxfjb                  1/1     Running                0                 4h50m
monitoring-system   monitoring-system-prometheus-node-exporter-gts9b                  1/1     Running                0                 4h50m
monitoring-system   monitoring-system-prometheus-node-exporter-j7gpc                  1/1     Running                0                 4h50m
monitoring-system   monitoring-system-prometheus-node-exporter-r9cng                  1/1     Running                0                 4h50m
monitoring-system   monitoring-system-prometheus-node-exporter-sn6ps                  1/1     Running                0                 4h50m
